filename,origsum,scalsum,sfactor
RASS-Cnt_Broad_grp10031.0.fits,97131.41562647621,97020.88991207344,0.9263875380575634
RASS-Cnt_Broad_grp10033.0.fits,95632.76805643008,95186.68074511265,0.910130866914324
RASS-Cnt_Broad_grp10035.0.fits,94659.58328311767,93974.96591419085,0.9253868607843417
RASS-Cnt_Broad_grp10036.0.fits,97900.02816297812,97558.59870398053,0.9197219795220883
RASS-Cnt_Broad_grp10038.0.fits,58023.66319633006,58009.13887677079,0.8595180722891567
RASS-Cnt_Broad_grp10040.0.fits,70527.55622693266,70490.50070627898,0.9377735674243641
RASS-Cnt_Broad_grp10041.0.fits,80961.64917729553,80426.40501847705,0.9172775992302543
RASS-Cnt_Broad_grp10042.0.fits,20816.995194132152,20781.04713230964,0.47910210579116463
RASS-Cnt_Broad_grp10044.0.fits,46167.551816078754,45998.42465072515,0.6457632992423026
RASS-Cnt_Broad_grp10046.0.fits,74157.16741604847,73776.62739757384,0.7380854675234272
RASS-Cnt_Broad_grp10048.0.fits,43428.30714762759,43140.94025510119,0.566011420416332
RASS-Cnt_Broad_grp10049.0.fits,78632.13414633404,78374.18674427993,0.7648934356064255
RASS-Cnt_Broad_grp1005.0.fits,60707.211018795184,60366.334708428316,0.6462807802208835
RASS-Cnt_Broad_grp10052.0.fits,70803.71732604445,70595.52724670016,0.903664035587684
RASS-Cnt_Broad_grp10053.0.fits,90110.14791018699,89503.09195543264,0.8900630860722892
RASS-Cnt_Broad_grp10055.0.fits,32056.975637233612,32001.985874523507,0.7351539491298528
RASS-Cnt_Broad_grp10057.0.fits,63475.742258297374,63410.57252383394,0.9028781793842034
RASS-Cnt_Broad_grp10058.0.fits,67432.99640908377,67425.9817501091,0.9102422742556894
RASS-Cnt_Broad_grp10060.0.fits,25966.744586274468,25793.14811483802,0.5463720637496653
RASS-Cnt_Broad_grp10061.0.fits,55097.79861818581,54934.68566353051,0.8881124497991969
RASS-Cnt_Broad_grp10063.0.fits,64853.066367408406,64314.50673048568,0.8035394912985274
RASS-Cnt_Broad_grp10000.0.fits,79604.73580213396,79110.38570121356,0.8664926372155288
RASS-Cnt_Broad_grp1000.0.fits,96680.7446061558,96413.20850786913,0.9310860315665418
RASS-Cnt_Broad_grp10001.0.fits,36839.32589230624,36679.270322213146,0.8453734939759037
RASS-Cnt_Broad_grp10002.0.fits,64470.87877692044,64163.46990860952,0.8968406961178045
RASS-Cnt_Broad_grp10003.0.fits,55684.69619658063,55585.85935731231,0.8953681392235607
RASS-Cnt_Broad_grp10004.0.fits,32689.06781536107,32637.6846991865,0.8131726907630522
RASS-Cnt_Broad_grp10005.0.fits,14552.51986713427,14470.38184678887,0.524169245661312
RASS-Cnt_Broad_grp10006.0.fits,44778.16019457365,44555.32791181687,0.8927929250803213
RASS-Cnt_Broad_grp10007.0.fits,100886.27305600599,100551.35149041913,0.9312432416331995
RASS-Cnt_Broad_grp10008.0.fits,84545.24977385391,84453.91233726915,0.9027936796171353
RASS-Cnt_Broad_grp10009.0.fits,67585.16498375032,67547.59806203406,0.8986486557603747
RASS-Cnt_Broad_grp100.0.fits,47921.33280561041,47734.453508000195,0.8962040307160447
RASS-Cnt_Broad_grp10010.0.fits,75593.04058492185,75167.72744824404,0.8774933622369477
RASS-Cnt_Broad_grp1001.0.fits,80115.00490872408,79694.5331805904,0.9362312921292358
RASS-Cnt_Broad_grp10011.0.fits,20750.330152185434,20716.255250888145,0.48699439768808567
RASS-Cnt_Broad_grp10012.0.fits,42256.62528686889,42187.666173424026,0.8210715316077642
RASS-Cnt_Broad_grp10013.0.fits,62466.640285146634,62360.85486258714,0.8875316710000001
RASS-Cnt_Broad_grp10014.0.fits,64127.639715290396,63713.58303370384,0.8622941866746989
RASS-Cnt_Broad_grp10015.0.fits,96850.52688920547,96100.18456465528,0.9136067390789826
RASS-Cnt_Broad_grp10016.0.fits,97286.18811363487,96638.61920515419,0.9249367989825971
RASS-Cnt_Broad_grp10017.0.fits,82725.16891193396,82560.01596826386,0.8953151589116466
RASS-Cnt_Broad_grp10018.0.fits,66522.48919746626,66148.19958247122,0.8464770810495315
RASS-Cnt_Broad_grp10019.0.fits,53188.828256843866,53083.805252111335,0.7117421835167336
RASS-Cnt_Broad_grp10020.0.fits,88706.96021164734,88364.9363469537,0.7593013889745649
RASS-Cnt_Broad_grp1002.0.fits,105318.766286123,104868.01591866103,0.9201059273551782
RASS-Cnt_Broad_grp10021.0.fits,14008.930283617612,13913.699756332424,0.5408957599906292
RASS-Cnt_Broad_grp10022.0.fits,31619.201934216995,31601.273344607074,0.5941520180589023
RASS-Cnt_Broad_grp10023.0.fits,13588.59505069454,13561.829177144515,0.4792513977175368
RASS-Cnt_Broad_grp10024.0.fits,74998.92252169207,74498.26348759136,0.9328913369718876
RASS-Cnt_Broad_grp10025.0.fits,49532.43963155474,49472.97019495348,0.7543600652262383
RASS-Cnt_Broad_grp10026.0.fits,87300.82893509568,87136.27267397486,0.8134888628634539
RASS-Cnt_Broad_grp10027.0.fits,73908.2501098632,73655.35251068181,0.9313445865287816
RASS-Cnt_Broad_grp10028.0.fits,30846.045192950634,30766.792446804524,0.5593068875716197
RASS-Cnt_Broad_grp10029.0.fits,55937.790756348324,55681.71987480249,0.7281737976331993
RASS-Cnt_Broad_grp10030.0.fits,70195.42571272397,69936.38638664827,0.8180429876666668
RASS-Cnt_Broad_grp1003.0.fits,72419.97303632577,72252.1565017877,0.9894615453922356
RASS-Cnt_Broad_grp10032.0.fits,49112.057026622504,49030.997008667095,0.8757697456492637
RASS-Cnt_Broad_grp10034.0.fits,48357.05963468913,48088.37603371762,0.6934496558273093
