id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,image
1,256.0,122.0,0.42992001029485016,3.1716181415363894e-07,0.0,25,0.0,0.021332336932474376,1.5762195633945018,-0.4940417837229668,7
2,146.0,132.0,0.4060982347234009,4.317678663298464e-07,0.0,25,0.0,0.030399714806633255,1.4366931298831926,-0.3934100375407188,7
3,132.0,230.0,0.4299200102948499,-2.2835682566789736e-06,0.0,25,0.0,0.023491769019730043,1.7357772861385432,-0.5987350025533793,7
4,138.05406403902433,238.6179823373393,0.4330378472482637,-0.3201373119638817,-0.3509467800279549,25,0.0,0.017946800980651607,1.5071736376978755,-0.4454082229398284,7
1,56.0,69.0,0.42992001029484994,2.1898465674063245e-07,3.5399907841775762e-15,25,0.0,0.0250395262163029,1.8959280034133337,-0.6945546031881582,8
2,130.0,166.0,0.4299200102948498,-7.786379782481851e-07,0.0,25,0.0,0.029083504716110244,2.2021275703202448,-0.8571061856371777,8
3,67.0,186.0,0.40609823472340106,-8.64497891499095e-07,0.0,25,0.0,0.020909356970258593,1.012634309748818,-0.01363159481389299,8
4,251.0,189.0,0.4060982347234009,-2.794027523531872e-09,0.0,25,0.0,0.02176565986884088,1.0541048196203153,-0.05720949758802837,8
1,204.0,55.00000000000001,0.4299200102948499,2.671511404777182e-06,0.0,25,0.0,0.01585373982629371,1.2008557012490404,-0.1987270607297015,10
2,178.0,91.0,0.40609823472340123,1.9945014871282996e-07,0.0,25,0.0,0.025029156233750537,1.2126110835011308,-0.2093038336327868,10
3,231.0,125.0,0.4060982347234007,-6.66423872670555e-07,0.0,25,0.0,0.029372465871831076,1.4230354924195514,-0.38303933026997644,10
1,168.0,41.00000000000001,0.4060982347234007,1.6788719321489228e-06,0.0,25,0.0,0.025496099381701543,1.205798932422109,-0.2031872375457754,12
2,39.00000000000001,62.00000000000001,0.3954673033176313,5.509374297898342e-08,5.823226330795423e-15,25,0.0,0.03279027279335459,1.0230006922403727,-0.0246898189726592,12
3,200.0,124.0,0.42992001029485005,-7.881133191389209e-07,0.0,25,0.0,0.016555873252950413,1.2241567113180782,-0.21959254473669257,12
4,105.0,193.0,0.4299200102948501,1.1726158152234605e-06,0.0,25,0.0,0.015923504633794685,1.1773987857566184,-0.1773089589785693,12
5,185.0,219.0,0.4060982347234005,2.7520678730302095e-06,2.9048990968447265e-15,25,0.0,0.02241203511935828,1.0599428412851397,-0.06320611508699855,12
6,114.0,241.0,0.40609823472340073,-5.161356111577441e-07,2.8149737597439545e-15,25,0.0,0.023127995545719707,1.0938030920175585,-0.09734786681456412,12
1,23.000000000000004,102.0,0.4299200102948501,-4.0324069190721164e-08,0.0,25,0.0,0.01794845951189162,1.2829801397901315,-0.2705498341440383,13
2,39.0,130.0,0.40609823472340073,5.629180164136969e-07,0.0,25,0.0,0.025724575806253855,1.1761350774950967,-0.17614300682035627,13
3,246.0,210.0,0.4060982347234005,2.9550998875342355e-06,2.9048990968447265e-15,25,0.0,0.02241203511935828,1.0246847551717855,-0.026475687510503436,13
4,130.0,276.0,0.40609823472340123,2.4432398190602074e-16,0.0,25,0.0,0.030944803988183868,1.4148054261740322,-0.37674179196641344,13
1,36.00000000000001,149.0,0.4299200102948501,-1.6221743128954862e-16,0.0,25,0.0,0.015923504633794685,1.1854707095639463,-0.18472706990635324,15
2,62.0,184.0,0.42992001029485005,2.0551872764859525e-07,-4.535919724576827e-15,25,0.0,0.019541724154775418,1.4548393794352712,-0.4070376199448206,15
3,164.0,206.0,0.4299200102948499,3.068619662032619e-07,0.0,25,0.0,0.020303681546533538,1.51156547024495,-0.448567406158616,15
1,244.0,165.0,0.3954673033176318,1.9641559988474582e-07,0.0,25,0.0,0.03642844631716825,1.1493800160761285,-0.1511591047901938,16
2,277.0,257.0,0.40609823472340056,1.8749478322228062e-06,0.0,25,0.0,0.023432966101180175,1.1207803578729036,-0.12380127789682871,16
3,49.0,272.0,0.42992001029484983,9.786437511647825e-08,0.0,25,0.0,0.020997612992869424,1.570170982582241,-0.4898673678841567,16
1,70.0,35.0,0.4299200102948498,-9.8391278216546e-17,0.0,25,0.0,0.026253038537993257,1.9782130752852827,-0.7406826701711027,18
2,243.0,43.0,0.4299200102948501,-1.2722970636812086e-06,0.0,25,0.0,0.024770329128207192,1.8664882881890175,-0.6775631729169378,18
3,71.0,201.0,0.42992001029485016,-5.690353139861772e-07,0.0,25,0.0,0.019968560972609586,1.5046665304467703,-0.4436006517617505,18
4,27.000000000000004,251.0,0.42992001029485,-2.519529832175323e-07,1.705735740983377e-15,25,0.0,0.025982832485758584,1.957852569404095,-0.7294499634265561,18
1,183.0,69.0,0.4299200102948504,0.0,0.0,25,0.0,0.020853136803076287,1.6226319995403542,-0.5255500908615899,20
1,254.0,83.0,0.4299200102948501,6.487826324739254e-06,0.0,25,0.0,0.015923504633794685,1.18544700705873,-0.18470536129295234,21
2,80.0,269.0,0.4060982347234003,-1.6674841610547109e-06,0.0,25,0.0,0.024767393808606833,1.1793426975180943,-0.17910005560236775,21
1,31.000000000000004,70.0,0.42992001029485005,1.5489783188663326e-06,-3.901707699642372e-15,25,0.0,0.022718178518090867,1.6546494744888234,-0.546765014284358,24
2,194.0,91.0,0.4060982347234005,4.8910836303981644e-11,0.0,25,0.0,0.03221938958629857,1.5009493350637868,-0.44091508191799245,24
3,220.0,193.0,0.406098234723401,-2.0567337465221561e-16,0.0,25,0.0,0.0245066811799014,1.1416506424825466,-0.14383306350864133,24
